LotArea,Neighborhood,YearBuilt,BHK,SalePrice
4240,Veenker,1924,1,657100
9000,CollgCr,1949,1,650000
6651,Crawfor,2014,2,631625
7712,NoRidge,1973,1,627000
2185,Mitchel,2005,2.5,620000
5000,Somerst,1942,1,618500
11700,NWAmes,1977,1,615000
39639,OldTown,1976,1,600000
6360,BrkSide,1945,1,600000
8640,CollgCr,1949,1.5,585000
7000,Veenker,1942,1,580000
6000,CollgCr,1975,1,570000
8744,Crawfor,1987,2,560000
3211,NoRidge,2009,2,555000
5400,Mitchel,1908,1,549000
6338,Somerst,2008,2,549000
8426,NWAmes,1960,1,541125
1175,OldTown,2000,2,531000
71874,BrkSide,1960,1,525888
5520,CollgCr,1944,1,524000
2700,Veenker,2010,2,509900
7519,CollgCr,1963,1,501000
6479,Crawfor,2006,2,499000
9200,NoRidge,1953,1,497300
9211,Mitchel,1977,1,487585
7048,Somerst,1979,1,485000
4535,NWAmes,2007,2,478000
3844,OldTown,1928,1.5,449250
9240,BrkSide,1942,1,435000
1426,CollgCr,2014,2,419190
6030,Veenker,1930,1.5,418000
989,CollgCr,2005,3,416286
998,Crawfor,2010,2.5,415000
36704,NoRidge,1978,1,410000
1332,Mitchel,2005,3,406100
1240,Somerst,2006,2,405000
9519,NWAmes,1948,1,400000
5510,OldTown,1955,1,400000
4000,BrkSide,1954,2,398750
12750,CollgCr,1968,1,384900
9389,Veenker,1960,1,379950
10800,CollgCr,2008,3,366750
9022,Crawfor,1962,1.5,340000
1438,NoRidge,2001,2,340000
5250,Mitchel,1949,1.5,329950
6500,Somerst,1998,2,328000
5000,NWAmes,2006,2,309950
7838,OldTown,1994,2,309950
10072,BrkSide,1986,1,300000
6000,CollgCr,1953,1,287000
15040,Veenker,1958,1,249950
9306,CollgCr,1984,1,245000
8063,Crawfor,1958,1,232000
9600,NoRidge,1971,1,220000
5427,Mitchel,1969,1,219900
306848,Somerst,1953,1,210000
10200,NWAmes,1956,1,210000
7158,OldTown,1944,1,206000
10125,BrkSide,1962,1,184000
15175,CollgCr,1969,2,1870000
10279,Veenker,2013,2,1800000
10920,CollgCr,1950,1.5,1580000
6906,Crawfor,1928,2,1230000
8103,NoRidge,1970,1,1140000
1970,Mitchel,2008,2,1050000
4047,Somerst,2014,3,979000
4082,NWAmes,1954,2,910000
32417,OldTown,2000,2,860000
6425,BrkSide,2008,2,776000
14550,CollgCr,1987,2,762300
12047,Veenker,1988,2,736000
12369,CollgCr,1998,2,725126
7864,Crawfor,1999,2,685000
36478,NoRidge,1951,1,675000
8330,Mitchel,2000,2,655500
7475,Somerst,1940,1,650000
36615,NWAmes,1983,2,650000
5000,OldTown,1949,1,612500
10117,BrkSide,1967,1,610000
37981,CollgCr,1985,2,609000
13850,Veenker,1987,2,606000
29930,CollgCr,1977,2,599000
8327,Crawfor,2013,2,580000
6500,NoRidge,1954,1,575000
15480,Mitchel,1996,2,563000
8111,Somerst,1984,2,562000
5500,NWAmes,1916,2,561000
10109,OldTown,1991,2,535000
3780,BrkSide,1926,1.5,533000
5133,CollgCr,1964,1,530000
11985,Veenker,1995,1,525000
54885,CollgCr,1980,2,520000
8000,Crawfor,1956,1,518000
7167,NoRidge,1989,2,515000
5684,Mitchel,1996,2,513000
1171,Somerst,2006,3,500000
2400,NWAmes,1903,1,499000
5000,OldTown,1938,1.5,488000
4080,BrkSide,1905,1.5,485000
6000,CollgCr,1942,1,484000
45732,Veenker,1995,2,483500
117612,CollgCr,1924,1.5,475000
4400,Crawfor,1924,1,469000
11088,NoRidge,1967,1,465000
929,Mitchel,2004,2,460000
7770,Somerst,1978,1,455000
3000,NWAmes,1912,1.5,450000
7983,OldTown,1967,1,425000
23400,BrkSide,1958,1,407000
10720,CollgCr,1958,1,404000
7680,Veenker,1971,1,397000
6500,CollgCr,1966,1,390000
5000,Crawfor,2006,1,390000
9568,NoRidge,1962,1,387000
5520,Mitchel,1982,1,385000
11600,Somerst,1955,1,379900
1320,NWAmes,2006,3,369950
9647,OldTown,1961,1,367500
8160,BrkSide,1950,1,365000
14374,CollgCr,1963,1,362000
18768,Veenker,1965,1,360000
7740,CollgCr,1947,1,353000
3826,Crawfor,2007,2,345000
6250,NoRidge,1956,1,345000
6687,Mitchel,1942,1,329350
12040,Somerst,1980,1,325000
6083,NWAmes,1940,1,313950
7054,OldTown,1950,1,312000
8000,BrkSide,1974,1,295000
5390,CollgCr,2003,2,284000
11800,Veenker,1971,1,280000
8151,CollgCr,1962,1,279900
13816,Crawfor,1998,2,272000
6874,NoRidge,1954,1,250000
8366,Mitchel,1975,1,234000
5160,Somerst,1952,1,219000
7684,NWAmes,1979,1,218000
7735,OldTown,1976,1,197000
8850,BrkSide,1959,1,191000
7034,CollgCr,1954,1,175000
8580,Veenker,1962,1,136500
16344,CollgCr,1942,1,78000
8856,Crawfor,1910,2.5,3200000
8076,NoRidge,2007,2,1530000
6480,Mitchel,1914,2.5,1500000
5500,Somerst,1937,2,1340000
103382,NWAmes,2001,2,1150000
13300,OldTown,1950,1,1110000
8391,BrkSide,2006,2,1040000
5940,CollgCr,1963,1,940000
226076,Veenker,1985,2,900000
8556,CollgCr,1954,1,794154
7200,Crawfor,1905,1.5,775000
9549,NoRidge,1956,1,758000
23790,Mitchel,1946,1,750000
6050,Somerst,1949,2,749950
4316,NWAmes,1905,1.5,705000
6428,OldTown,1942,1,690000
10500,BrkSide,1959,1,675000
18804,CollgCr,1990,2,675000
108366,Veenker,1991,2,651000
5175,CollgCr,2002,2,640000
327135,Crawfor,1995,2,630000
5663,NoRidge,2011,1,630000
6500,Mitchel,1988,2,618080
1570,Somerst,2014,3,610950
108900,NWAmes,1977,1,600000
6988,OldTown,1938,2.5,599999
4788,BrkSide,1920,1,599000
13695,CollgCr,1961,1,581000
5000,Veenker,1955,1,575000
5080,CollgCr,1929,1.5,568000
60392,Crawfor,1994,2,560000
13374,NoRidge,1985,1,560000
7647,Mitchel,1948,2,540000
149410,Somerst,1988,1.5,535000
2289,NWAmes,2006,2,535000
4284,OldTown,1910,1,530000
2400,BrkSide,1900,1.5,526000
1249,CollgCr,2014,3,519950
9147,Veenker,1967,1,515000
5203,CollgCr,2003,2,510000
6760,Crawfor,1980,1,503000
3885,NoRidge,1906,1.5,500000
37565,Mitchel,1987,1,500000
6000,Somerst,1943,1,495000
21195,NWAmes,2014,2,495000
16164,OldTown,1922,1.5,492000
4160,BrkSide,1917,1,485000
11200,CollgCr,1968,1,480500
2723,Veenker,1921,1,475000
9055,CollgCr,1985,2,460000
6180,Crawfor,1947,1,440000
3900,NoRidge,2003,1,428000
1027,Mitchel,2008,3,425000
3500,Somerst,1904,1.5,420000
8165,NWAmes,1977,2,420000
1452,OldTown,2009,3,417250
9548,BrkSide,1991,2,415000
13000,CollgCr,1968,1,409500
8307,Veenker,1961,1,405000
6000,CollgCr,1958,1,380000
17335,Crawfor,1978,1,379500
13042,NoRidge,1990,2,375000
5003,Mitchel,2008,1,365000
6400,Somerst,1944,1,361280
8560,NWAmes,1978,1,352000
9360,OldTown,1981,1,350000
12295,BrkSide,1985,2,339950
681,CollgCr,2006,3,339950
7200,Veenker,1952,1,335000
16986,CollgCr,1968,1,314950
12381,Crawfor,1957,1,314500
1716,NoRidge,1967,1,313000
10723,Mitchel,1974,1,310000
37904,Somerst,1973,1,310000
3573,NWAmes,2013,2,305450
3001,OldTown,1913,1,300000
4271,BrkSide,2000,2,280000
7000,CollgCr,1993,2,275000
7112,Veenker,1920,1,265000
8632,CollgCr,1962,1,255000
10122,Crawfor,1994,1,253000
4373,NoRidge,1947,1,250000
8423,Mitchel,1952,1,249000
10018,Somerst,1960,1,248500
7410,NWAmes,1944,1,246000
1270,OldTown,2005,2,245000
7566,BrkSide,1985,1,239900
9180,CollgCr,1988,2,230000
10762,Veenker,1988,1,226500
11130,CollgCr,1960,1,209950
6600,Crawfor,1969,1,185000
13100,NoRidge,1912,1,160000
22000,Mitchel,1956,1,100000
5760,Somerst,1906,2.5,1750000
12757,NWAmes,1952,1,1500000
3200,OldTown,1932,1.5,1310000
24166,BrkSide,1990,2,1250000
33976,CollgCr,1964,1,1050000
5000,Veenker,1910,2,1040000
16807,CollgCr,2007,2,988500
11470,Crawfor,1971,1,980000
4080,NoRidge,1912,2,930000
3942,Mitchel,2008,3,868500
6960,Somerst,1941,1.5,835000
9601,NWAmes,1968,1,830000
1842,OldTown,2011,2,785000
9195,BrkSide,1950,1,780000
5500,CollgCr,2003,2,753888
4500,Veenker,1928,1.5,719000
6465,CollgCr,2002,2,716500
4620,Crawfor,1900,1.5,712000
5750,NoRidge,1918,1.5,660000
26036,Mitchel,1947,1,647500
3600,Somerst,1925,1.5,636000
6872,NWAmes,1946,1,615000
3354,OldTown,1991,2,595000
66646,BrkSide,1993,2,589900
41688,CollgCr,1980,2,569000
4950,Veenker,2006,1,559950
1349,CollgCr,1997,2,553650
191228,Crawfor,1988,2,545000
15600,NoRidge,1940,1.5,543200
9600,Mitchel,1967,1,538000
4630,Somerst,2005,2,537500
65836,NWAmes,2004,2,535000
4080,OldTown,1967,1,533000
6760,BrkSide,1973,1,530000
2850,CollgCr,1930,1.5,530000
73151,Veenker,1974,1,524000
4960,CollgCr,1926,1,515000
1197,Crawfor,2012,3,500000
957,NoRidge,2005,2,499000
6250,Mitchel,2011,2,494000
20828,Somerst,1975,1.5,489990
43560,NWAmes,1954,1,450000
1060,OldTown,2008,3,441750
1179,BrkSide,2010,2,438000
9282,CollgCr,1976,1,437000
7700,Veenker,1979,1,424500
3200,CollgCr,2008,3,413450
8155,Crawfor,1948,1,405000
8354,NoRidge,2012,2,403000
8000,Mitchel,1977,1,402000
9920,Somerst,1944,1,385000
5793,NWAmes,2012,2,375000
1808,OldTown,1993,2,358000
13515,BrkSide,1940,1,350000
9620,CollgCr,1988,1,349000
7350,Veenker,1989,2,347500
87625,CollgCr,1980,1.5,335000
435600,Crawfor,1972,1.5,330000
6270,NoRidge,2004,2,325900
1277,Mitchel,2007,2,321950
1716,Somerst,1966,1,307000
10800,NWAmes,1967,1,297950
89298,OldTown,1973,1,295000
7229,BrkSide,1993,2,295000
6509,CollgCr,1994,2,270000
8547,Veenker,1989,1,266000
6236,CollgCr,2002,2,262000
8800,Crawfor,1962,1,260000
8320,NoRidge,1977,1,258000
7399,Mitchel,1975,1,246000
7964,Somerst,1955,1,245000
3008,NWAmes,1923,1,235000
6000,OldTown,1939,1,230000
16000,BrkSide,1960,1,230000
3000,CollgCr,2002,2,229000
6120,Veenker,1965,1,228000
9200,CollgCr,1959,1,211000
8995,Crawfor,1954,1,207000
5040,NoRidge,1955,1,205000
5000,Mitchel,1922,2,134000
22334,Somerst,1951,1,82500
11665,NWAmes,2001,1.5,2400000
130017,OldTown,2010,2,2240000
5432,BrkSide,1987,2,1700000
9450,CollgCr,1962,1,1370000
52889,Veenker,1996,2,1160000
37769,CollgCr,1989,2,985000
11025,Crawfor,1976,2,920000
107290,NoRidge,1987,2,851000
13592,Mitchel,2013,1,839900
10308,Somerst,1999,2,833000
159430,NWAmes,2007,2,800000
20345,OldTown,1979,2,782000
3047,BrkSide,2006,2,769900
10819,CollgCr,1996,2,765000
78843,Veenker,2006,1.5,759000
3773,CollgCr,1919,2,742500
188200,Crawfor,2007,1,705000
45302,NoRidge,1976,1,610000
7753,Mitchel,1989,2,604000
32496,Somerst,1993,1,590000
29252,NWAmes,1982,2,585000
4000,OldTown,2001,2,583000
6268,BrkSide,1998,2,580000
10140,CollgCr,1980,1,566000
7447,Veenker,1984,2,565000
4500,CollgCr,2012,2,557000
14289,Crawfor,1978,2,542500
4000,NoRidge,1926,1.5,536500
5413,Mitchel,1925,1.5,536000
57499,Somerst,1976,1,532000
6970,NWAmes,1991,2,525000
7293,OldTown,1963,1,511555
5824,BrkSide,1999,2,505000
11340,CollgCr,1987,1,491300
3300,Veenker,1910,1.5,490000
4800,CollgCr,1940,1,481450
9653,Crawfor,1968,1,465000
4400,NoRidge,1905,1,463000
5500,Mitchel,1926,1.5,460000
6000,Somerst,1959,1,445000
6634,NWAmes,1940,1,445000
10500,OldTown,1960,1,431000
30736,BrkSide,1911,1.5,428750
48787,CollgCr,1992,2,415000
11951,Veenker,1988,2,402500
1606,CollgCr,2003,2,387000
1253,Crawfor,2005,3,382000
1384,NoRidge,2008,3,376000
81892,Mitchel,1956,1,360000
11050,Somerst,1972,1,352000
120661,NWAmes,1979,1,336900
3784,OldTown,2003,2,330000
1694,BrkSide,2007,3,325000
70800,CollgCr,1976,1,325000
904,Veenker,2007,2,324000
7213,CollgCr,1977,1,323000
7490,Crawfor,1980,2,320000
8100,NoRidge,1956,1,315000
7452,Mitchel,1984,1,312000
8078,Somerst,1977,1,311100
10464,NWAmes,1973,1,303500
13300,OldTown,1968,1,290000
8700,BrkSide,1912,1,280950
14439,CollgCr,1977,1,280000
48257,Veenker,1922,1,275000
6337,CollgCr,1953,1,270000
9583,Crawfor,1969,1,270000
8075,NoRidge,1969,1,260000
14850,Mitchel,1963,1,260000
28717,Somerst,1984,1,255000
7980,NWAmes,1928,1,255000
4597,OldTown,2003,2,254000
6127,BrkSide,1947,1,252500
7250,CollgCr,1962,1,251000
5883,Veenker,2006,2,248000
9948,CollgCr,1977,1,234950
9202,Crawfor,1992,2,225000
8355,NoRidge,1983,1.5,224500
1525,Mitchel,2004,2,212000
8320,Somerst,1959,1,201500
18000,NWAmes,1950,1,195000
6000,OldTown,1921,1,875000
7015,BrkSide,1979,1,549900
1250,CollgCr,2006,3,394950
6969,Veenker,2003,2,320000
9533,CollgCr,1962,1,265000
5298,Crawfor,1902,2.5,842500
1350,NoRidge,2007,2,368000
20150,Mitchel,1975,1,1580000
20021,Somerst,1963,1,1350000
3997,NWAmes,2004,2,1320000
9687,OldTown,1918,2,1300000
9170,BrkSide,2012,2,1260000
101930,CollgCr,2001,1,1230000
16028,Veenker,1976,1,1230000
8078,CollgCr,1928,1.5,1200000
11610,Crawfor,1982,2,1080000
11000,NoRidge,2008,2,1050000
5187,Mitchel,2014,2,1030000
34527,Somerst,1954,1,1020000
258746,NWAmes,2003,1.5,950000
12329,OldTown,1968,1.5,947500
27144,BrkSide,1917,1.5,947500
12090,CollgCr,1953,2,927000
6120,Veenker,1962,1,910000
38412,CollgCr,1978,2,900000
5000,Crawfor,1995,2,885000
12508,NoRidge,1928,1.5,876650
3150,Mitchel,1910,1.5,870300
11914,Somerst,1961,1,850000
2750,NWAmes,1936,1.5,840000
6324,OldTown,2006,2,809000
5759,BrkSide,2003,2,788000
5000,CollgCr,1954,1,770000
6142,Veenker,2004,2,751000
4930,CollgCr,2000,2,750000
8950,Crawfor,1992,2,746000
5000,NoRidge,1928,1.5,734200
13463,Mitchel,1989,2,690000
3340,Somerst,1964,1,675000
10000,NWAmes,1964,1,660000
6887,OldTown,1999,2,647000
1433,BrkSide,2010,3,635000
4166,CollgCr,1911,2,630000
6630,Veenker,1954,1,620000
4480,CollgCr,1919,1.5,615000
5000,Crawfor,1930,1.5,610000
4650,NoRidge,1951,1,582000
216777,Mitchel,1986,1,560000
228254,Somerst,1990,1,540000
8623,NWAmes,1980,1,522000
4800,OldTown,1922,1,505000
6369,BrkSide,1978,1,505000
1334,CollgCr,2007,3,500000
6380,Veenker,1941,1,499950
1391,CollgCr,2004,2,490000
11358,Crawfor,1956,1,465000
2287,NoRidge,2014,2,453246
17208,Mitchel,1959,1,450000
1369,Somerst,2009,3,420000
16921,NWAmes,1987,2,410000
6223,OldTown,2010,2,383000
10090,BrkSide,2004,1,372500
895,CollgCr,2009,2,369000
9898,Veenker,1968,1,368000
5500,CollgCr,1943,1,360000
7066,Crawfor,1997,2,357000
4500,NoRidge,1906,1.5,350000
7119,Mitchel,1952,1.5,341000
8100,Somerst,1955,1,339000
4927,NWAmes,2004,2,335000
4548,OldTown,2013,1,330000
8040,BrkSide,1951,1,315275
7813,CollgCr,1986,2,302000
1333,Veenker,2005,2,301500
8100,CollgCr,1975,1,300000
8209,Crawfor,1942,1,270000
2828,NoRidge,2008,2,265000
2500,Mitchel,1910,1,255000
2451,Somerst,1941,1,235000
8012,NWAmes,1966,1,225000
7620,OldTown,1941,1,211000
2643,BrkSide,2004,2,210000
9750,CollgCr,1969,1,201000
10540,Veenker,1953,1,192000
8470,CollgCr,1961,1,185000
8580,Crawfor,1959,1,156000
53143,NoRidge,1945,1,110000
26211,Mitchel,1923,2,2560000
9000,Somerst,2013,2,2450000
11023,NWAmes,2008,2,2450000
16672,OldTown,1969,2,1900000
23723,BrkSide,1989,2,1680000
17458,CollgCr,1982,1,1550000
7924,Veenker,2001,2,1400000
4000,CollgCr,1905,2,1110000
8400,Crawfor,2003,2,1050000
7494,NoRidge,2000,2,975000
6773,Mitchel,2006,2.5,870000
11119,Somerst,1986,1,860000
7119,NWAmes,2013,2,819900
2370,OldTown,1906,2.5,799200
10495,BrkSide,1967,1,780000
59677,CollgCr,2003,2,777000
6120,Veenker,1927,1.5,771000
5283,CollgCr,2007,2,757000
3880,Crawfor,1956,1,717000
8398,NoRidge,1975,2,700000
5548,Mitchel,2006,2,675000
9600,Somerst,1968,1,675000
5820,NWAmes,1944,1.5,665000
5196,OldTown,2012,2,660000
7140,BrkSide,1993,2,651000
4861,CollgCr,2013,2,650000
13750,Veenker,1975,2,645000
13320,CollgCr,1969,1,635000
6000,Crawfor,1958,1,628000
1846,NoRidge,2009,2,625000
4050,Mitchel,1909,1.5,620000
2400,Somerst,1922,1,591000
38180,NWAmes,1977,2,591000
8164,OldTown,1963,1,581000
7125,BrkSide,1964,1,580000
11750,CollgCr,1951,1,575000
5401,Veenker,1937,1,570000
5000,CollgCr,1910,2,560000
7500,Crawfor,1956,1,550000
8100,NoRidge,1970,2,550000
4950,Mitchel,2006,1,530000
8190,Somerst,1958,1,530000
4591,NWAmes,1994,2,525000
5086,OldTown,2007,2,525000
1161,BrkSide,2008,2,525000
7735,CollgCr,1957,1,523000
5602,Veenker,2009,2,505000
5616,CollgCr,2012,2,502000
35000,Crawfor,1976,1,480000
8700,NoRidge,2004,1,475000
5112,Mitchel,1950,1,465000
8970,Somerst,1959,1,464000
10450,NWAmes,1977,1,460000
7685,OldTown,2001,2,455000
892,BrkSide,2010,2,450000
42180,CollgCr,1978,1,450000
6610,Veenker,1954,1,449500
6355,CollgCr,2002,2,435000
5000,Crawfor,1911,1,415000
6000,NoRidge,1925,1,413000
13529,Mitchel,1956,1,405000
6600,Somerst,1943,1,385000
9486,NWAmes,1953,1,375000
5710,OldTown,2006,2,373000
8254,BrkSide,1951,1,370000
1709,CollgCr,2004,3,354901
14298,Veenker,1977,2,350000
7200,CollgCr,1968,1,345000
5008,Crawfor,2007,1,330000
14200,NoRidge,1989,1,322500
12823,Mitchel,1968,1,319000
7315,Somerst,1981,1,289000
8251,NWAmes,1990,2,287600
9600,OldTown,1987,1,287000
8640,BrkSide,1973,1,285000
22870,CollgCr,1954,1,273000
8165,Veenker,1972,1,267345
7902,CollgCr,1962,1,245000
33888,Crawfor,1942,1.5,239950
5360,NoRidge,1931,1,230000
7500,Mitchel,1967,1,225000
12559,Somerst,1939,1.5,225000
6535,NWAmes,1947,1,225000
7210,OldTown,1963,1,225000
6232,BrkSide,1943,1,155000
2640,CollgCr,1973,1,90000
19542,Veenker,1968,1,1880000
7200,CollgCr,1981,2,1400000
9444,Crawfor,2007,1.5,1220000
60373,NoRidge,1988,2,1120000
11137,Mitchel,1955,1,1060000
8019,Somerst,2008,2,966000
9887,NWAmes,1972,2,955000
7644,OldTown,1995,2,950000
20553,BrkSide,1954,1,930000
7350,CollgCr,1958,2.5,925000
13096,Veenker,1986,2,802000
4400,CollgCr,1906,1.5,800000
3600,Crawfor,2007,2,773000
30007,NoRidge,1992,1.5,766950
31675,Mitchel,1984,1,740000
10157,Somerst,2000,2,740000
4004,NWAmes,2004,2,723000
5649,OldTown,1941,1,715000
7081,BrkSide,2004,2,707000
6750,CollgCr,1926,2,702500
5120,Veenker,1903,1.5,682000
33305,CollgCr,1993,2,633100
11180,Crawfor,1966,1,625000
3832,NoRidge,1929,2,620000
6000,Mitchel,1923,1.5,607500
4800,Somerst,1948,1,582500
14667,NWAmes,1989,2,565000
8000,OldTown,1957,1,562000
5000,BrkSide,1921,1,546000
7640,CollgCr,1962,1,543000
217800,Veenker,1992,1.5,543000
8250,CollgCr,1955,1,542000
3825,Crawfor,1904,1.5,538000
15002,NoRidge,1974,1,530000
6120,Mitchel,1924,1.5,525000
4883,Somerst,2005,2,511000
54014,NWAmes,1986,1,510000
42689,OldTown,1959,1.5,499000
7375,BrkSide,1973,1,498000
9600,CollgCr,1965,1.5,489200
39449,Veenker,1978,1,486000
14023,CollgCr,1991,2,470000
7500,Crawfor,1940,1,458000
17172,NoRidge,1989,2,450000
5200,Mitchel,2008,2,437000
24123,Somerst,1999,2,420000
3522,NWAmes,1947,1,405100
2130,OldTown,1918,1,400000
4000,BrkSide,1955,1,394475
4980,CollgCr,1947,1,385000
1618,Veenker,2014,2,372977
5500,CollgCr,1951,1,372220
8625,Crawfor,1957,1,364000
12384,NoRidge,1980,2,356000
10117,Mitchel,2005,1,349950
15003,Somerst,1984,2,345000
3716,NWAmes,1997,2,340000
5402,OldTown,1906,1.5,339950
7314,BrkSide,1956,1,337500
6049,CollgCr,1990,2,325000
5011,Veenker,2012,2,317000
7226,CollgCr,1995,2,316000
9876,Crawfor,1953,1,310000
7830,NoRidge,1952,1,310000
1086,Mitchel,2007,3,306000
10200,Somerst,1966,2,305495
131551,NWAmes,1966,1,305000
8280,OldTown,1946,1,300000
34395,BrkSide,1950,1,299000
6000,CollgCr,1949,1,267800
7214,Veenker,1986,1,266000
5706,CollgCr,1998,1,265000
8250,Crawfor,1952,1,257200
4541,NoRidge,2006,2,253000
9010,Mitchel,1975,1,234000
7473,Somerst,1973,1,223000
7200,NWAmes,1967,1,215000
8925,OldTown,1911,1,175000
11900,BrkSide,1963,1,160000
5200,CollgCr,1952,1,155000
17334,Veenker,1978,1,139000
19865,CollgCr,1962,2,2100000
7535,Crawfor,2006,2,1260000
10308,NoRidge,2006,2,1150000
12080,Mitchel,1988,1,1090000
16258,Somerst,1990,2,1000000
10856,NWAmes,2013,3,914500
11562,OldTown,1947,1,840000
12305,BrkSide,1955,1,839000
5680,CollgCr,2013,2,828950
10335,Veenker,2013,2,819995
5404,CollgCr,2004,2,803100
6117,Crawfor,1940,1,790000
14275,NoRidge,1999,2,765000
20301,Mitchel,1985,2,749400
5352,Somerst,1941,2.5,744000
151588,NWAmes,2007,2,720000
9130,OldTown,2001,2,695000
17622,BrkSide,1986,2,695000
7266,CollgCr,2003,2,689900
7798,Veenker,1947,1,640000
9185,CollgCr,1989,2,620000
4815,Crawfor,1909,1.5,613000
12032,NoRidge,1983,1,592500
3750,Mitchel,1921,2,585000
7636,Somerst,1986,1,582800
4638,NWAmes,1996,2,580050
6000,OldTown,1946,1,575000
17810,BrkSide,1979,1,575000
40887,CollgCr,1980,1,550000
7434,Veenker,1991,2,525000
2875,CollgCr,1997,2,512500
7200,Crawfor,1995,2,497000
4000,NoRidge,1941,1.5,495000
29699,Mitchel,1961,1,475000
6582,Somerst,1946,1,467000
10350,NWAmes,1959,1,465750
6886,OldTown,1924,1,465000
7344,BrkSide,1980,1,455000
4520,CollgCr,1912,1,451555
7066,Veenker,1973,1,430000
7303,CollgCr,1976,1,423000
9972,Crawfor,1977,1,420000
10224,NoRidge,1956,1,417000
8475,Mitchel,1963,1,412500
10304,Somerst,1953,1,400000
7000,NWAmes,1955,1,395300
10800,OldTown,1996,2,390000
3600,BrkSide,2010,2,386380
8000,CollgCr,1960,1,375000
5880,Veenker,1998,2,370000
250470,CollgCr,1940,1,350000
7066,Crawfor,1957,1,349950
7496,NoRidge,1994,2,349950
1130,Mitchel,2007,3,344000
10290,Somerst,1960,1,343000
9630,NWAmes,1986,2,342400
8136,OldTown,1948,1,340000
30476,BrkSide,1991,2,335000
6807,CollgCr,1991,2,316500
6345,Veenker,1919,1,312500
974,CollgCr,2009,2,312000
7865,Crawfor,1963,1,302000
13000,NoRidge,1955,1,300000
2500,Mitchel,1986,1,295000
20562,Somerst,1959,1.5,280000
